指标,数值
用户数,5366.0
流失人数,867.0
总体流失率,0.16157286619455832
平均订单数,2.9409243384271337
订单数中位数,2.0
平均优惠券使用次数,1.7206485277674246
平均返现,180.0149850913157
平均App使用时长,10.189899366380917
平均满意度,3.0583302273574358
平均距上次下单天数,4.407193440178904
