TenureGroup,用户数,流失人数,平均返现金额,平均订单数,流失率
新用户(<6个月),1967,689,158.78820538891713,2.4468734112862225,0.35027961362480936
成长用户(6-12个月),1321,76,169.67050719152158,2.8523845571536715,0.05753217259651779
成熟用户(12-24个月),1574,102,200.7232528589581,3.4847522236340533,0.06480304955527319
衰退用户(≥24个月),504,0,225.29934523809524,3.4027777777777777,0.0
